	Characteristics[organism]	Characteristics[individual]	Characteristics[sex]	Characteristics[age]	Unit[time unit]	Characteristics[developmental stage]	Characteristics[organism part]	Characteristics[sampling site]	Characteristics[cell type]	Characteristics[disease]	Characteristics[organism status]	Characteristics[cause of death]	Description	Source Name	Assay Name	Scan Name	Extract Name	Comment[BioSD_SAMPLE]	Comment[ENA_EXPERIMENT]	Comment[ENA_RUN]	Comment[technical replicate group]	Material Type_1	Material Type_2	Comment[input molecule]	Comment[library construction]	Comment[single cell isolation]	Comment[primer]	Comment[end bias]	Comment[umi barcode read]	Comment[umi barcode offset]	Comment[umi barcode size]	Comment[cell barcode read]	Comment[cell barcode offset]	Comment[cell barcode size]	Comment[sample barcode read]	Comment[sample barcode offset]	Comment[sample barcode size]	Comment[cDNA read]	Comment[cDNA read offset]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRATEGY]	Comment[LIBRARY_SELECTION]	Technology Type	Characteristics[immunophenotype]	Characteristics[stimulus]
12	Mus musculus	Ad07	male	22 to 24	day	Theiler stage 28	brain	medulla		normal	alive	isoflurane	mouse donor	10X11_1_cells	10X11_1_cells	10X11_1_cells	10X11_1_cells		SRX3809362	SRR6854088		cell	RNA	polyA RNA	10xV1	10x	oligo-dT	3 prime tag		14	10		0	14		0	8		0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	sequencing assay		
13	Mus musculus	Ad09	male	21	day	Theiler stage 28	brain	cortex		normal	alive	isoflurane	mouse donor	10X19_2_cells	10X19_2_cells	10X19_2_cells	10X19_2_cells		SRX3809364	SRR6854086		cell	RNA	polyA RNA	10xV1	10x	oligo-dT	3 prime tag		14	10		0	14		0	8		0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	sequencing assay		
14	Mus musculus	Ad10	female	22	day	Theiler stage 28	brain	cortex		normal	alive	isoflurane	mouse donor	10X20_1_cells	10X20_1_cells	10X20_1_cells	10X20_1_cells		SRX3809359	SRR6854091		cell	RNA	polyA RNA	10xV1	10x	oligo-dT	3 prime tag		14	10		0	14		0	8		0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	sequencing assay		
15	Mus musculus	Ad10	female	22	day	Theiler stage 28	brain	cortex		normal	alive	isoflurane	mouse donor	10X20_2_cells	10X20_2_cells	10X20_2_cells	10X20_2_cells		SRX3809358	SRR6854092		cell	RNA	polyA RNA	10xV1	10x	oligo-dT	3 prime tag		14	10		0	14		0	8		0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	sequencing assay		
16	Mus musculus	Ad10	female	22	day	Theiler stage 28	brain	midbrain		normal	alive	isoflurane	mouse donor	10X20_3_cells	10X20_3_cells	10X20_3_cells	10X20_3_cells		SRX3809280	SRR6854053		cell	RNA	polyA RNA	10xV1	10x	oligo-dT	3 prime tag		14	10		0	14		0	8		0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	sequencing assay		
17	Mus musculus	Ad10	female	22	day	Theiler stage 28	brain	midbrain		normal	alive	isoflurane	mouse donor	10X20_4_cells	10X20_4_cells	10X20_4_cells	10X20_4_cells		SRX3809281	SRR6854054		cell	RNA	polyA RNA	10xV1	10x	oligo-dT	3 prime tag		14	10		0	14		0	8		0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	sequencing assay		
18	Mus musculus	Ad11	male	23	day	Theiler stage 28	brain	cortex		normal	alive	isoflurane	mouse donor	10X22_1_cells	10X22_1_cells	10X22_1_cells	10X22_1_cells		SRX3809282	SRR6854055		cell	RNA	polyA RNA	10xV1	10x	oligo-dT	3 prime tag		14	10		0	14		0	8		0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	sequencing assay		
19	Mus musculus	Ad11	male	23	day	Theiler stage 28	brain	cortex		normal	alive	isoflurane	mouse donor	10X22_2_cells	10X22_2_cells	10X22_2_cells	10X22_2_cells		SRX3809283	SRR6854056		cell	RNA	polyA RNA	10xV1	10x	oligo-dT	3 prime tag		14	10		0	14		0	8		0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	sequencing assay		
20	Mus musculus	Ad11	male	23	day	Theiler stage 28	brain	hippocampal formation		normal	alive	isoflurane	mouse donor	10X22_3_cells	10X22_3_cells	10X22_3_cells	10X22_3_cells		SRX3809284	SRR6854057		cell	RNA	polyA RNA	10xV1	10x	oligo-dT	3 prime tag		14	10		0	14		0	8		0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	sequencing assay		
21	Mus musculus	Ad11	male	23	day	Theiler stage 28	brain	hippocampal formation		normal	alive	isoflurane	mouse donor	10X22_4_cells	10X22_4_cells	10X22_4_cells	10X22_4_cells		SRX3809285	SRR6854058		cell	RNA	polyA RNA	10xV1	10x	oligo-dT	3 prime tag		14	10		0	14		0	8		0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	sequencing assay		
22	Mus musculus	Ad12	male	24	day	Theiler stage 28	brain	dorsal striatum		normal	alive	isoflurane	mouse donor	10X24_1_cells	10X24_1_cells	10X24_1_cells	10X24_1_cells		SRX3809286	SRR6854059		cell	RNA	polyA RNA	10xV1	10x	oligo-dT	3 prime tag		14	10		0	14		0	8		0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	sequencing assay		
23	Mus musculus	Ad12	male	24	day	Theiler stage 28	brain	dorsal striatum		normal	alive	isoflurane	mouse donor	10X24_2_cells	10X24_2_cells	10X24_2_cells	10X24_2_cells		SRX3809287	SRR6854060		cell	RNA	polyA RNA	10xV1	10x	oligo-dT	3 prime tag		14	10		0	14		0	8		0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	sequencing assay		
24	Mus musculus	Ad12	male	24	day	Theiler stage 28	brain	thalamic complex		normal	alive	isoflurane	mouse donor	10X24_3_cells	10X24_3_cells	10X24_3_cells	10X24_3_cells		SRX3809288	SRR6854051		cell	RNA	polyA RNA	10xV1	10x	oligo-dT	3 prime tag		14	10		0	14		0	8		0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	sequencing assay		
25	Mus musculus	Ad12	male	24	day	Theiler stage 28	brain	thalamic complex		normal	alive	isoflurane	mouse donor	10X24_4_cells	10X24_4_cells	10X24_4_cells	10X24_4_cells		SRX3809289	SRR6854052		cell	RNA	polyA RNA	10xV1	10x	oligo-dT	3 prime tag		14	10		0	14		0	8		0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	sequencing assay		
26	Mus musculus	Ad13	female	25	day	Theiler stage 28	brain	cerebellum		normal	alive	isoflurane	mouse donor	10X26_1_cells	10X26_1_cells	10X26_1_cells	10X26_1_cells		SRX3809397	SRR6854118		cell	RNA	polyA RNA	10xV1	10x	oligo-dT	3 prime tag		14	10		0	14		0	8		0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	sequencing assay		
27	Mus musculus	Ad13	female	25	day	Theiler stage 28	brain	cerebellum		normal	alive	isoflurane	mouse donor	10X26_2_cells	10X26_2_cells	10X26_2_cells	10X26_2_cells		SRX3809396	SRR6854117		cell	RNA	polyA RNA	10xV1	10x	oligo-dT	3 prime tag		14	10		0	14		0	8		0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	sequencing assay		
28	Mus musculus	Ad13	female	25	day	Theiler stage 28	brain	ventral striatum		normal	alive	isoflurane	mouse donor	10X26_3_cells	10X26_3_cells	10X26_3_cells	10X26_3_cells		SRX3809395	SRR6854116		cell	RNA	polyA RNA	10xV1	10x	oligo-dT	3 prime tag		14	10		0	14		0	8		0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	sequencing assay		
29	Mus musculus	Ad13	female	25	day	Theiler stage 28	brain	ventral striatum		normal	alive	isoflurane	mouse donor	10X26_4_cells	10X26_4_cells	10X26_4_cells	10X26_4_cells		SRX3809394	SRR6854115		cell	RNA	polyA RNA	10xV1	10x	oligo-dT	3 prime tag		14	10		0	14		0	8		0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	sequencing assay		
30	Mus musculus	Ad14	male	26	day	Theiler stage 28	brain	cortex		normal	alive	isoflurane	mouse donor	10X28_2_cells	10X28_2_cells	10X28_2_cells	10X28_2_cells		SRX3809393	SRR6854122		cell	RNA	polyA RNA	10xV1	10x	oligo-dT	3 prime tag		14	10		0	14		0	8		0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	sequencing assay		
31	Mus musculus	Ad14	male	26	day	Theiler stage 28	brain	cortex		normal	alive	isoflurane	mouse donor	10X28_3_cells	10X28_3_cells	10X28_3_cells	10X28_3_cells		SRX3809392	SRR6854121		cell	RNA	polyA RNA	10xV1	10x	oligo-dT	3 prime tag		14	10		0	14		0	8		0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	sequencing assay		
32	Mus musculus	Ad14	male	26	day	Theiler stage 28	brain	olfactory bulb		normal	alive	isoflurane	mouse donor	10X28_4_cells	10X28_4_cells	10X28_4_cells	10X28_4_cells		SRX3809391	SRR6854120		cell	RNA	polyA RNA	10xV1	10x	oligo-dT	3 prime tag		14	10		0	14		0	8		0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	sequencing assay		
33	Mus musculus	Ad14	male	26	day	Theiler stage 28	brain	olfactory bulb		normal	alive	isoflurane	mouse donor	10X28_5_cells	10X28_5_cells	10X28_5_cells	10X28_5_cells		SRX3809390	SRR6854119		cell	RNA	polyA RNA	10xV1	10x	oligo-dT	3 prime tag		14	10		0	14		0	8		0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	sequencing assay		
34	Mus musculus	Ad15	mixed	20	day	Theiler stage 28	brain	medulla		normal	alive	isoflurane	mouse donor	10X33_1_cells	10X33_1_cells	10X33_1_cells	10X33_1_cells		SRX3809399	SRR6854124		cell	RNA	polyA RNA	10xV1	10x	oligo-dT	3 prime tag		14	10		0	14		0	8		0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	sequencing assay		
35	Mus musculus	Ad15	mixed	20	day	Theiler stage 28	brain	medulla		normal	alive	isoflurane	mouse donor	10X33_2_cells	10X33_2_cells	10X33_2_cells	10X33_2_cells		SRX3809398	SRR6854123		cell	RNA	polyA RNA	10xV1	10x	oligo-dT	3 prime tag		14	10		0	14		0	8		0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	sequencing assay		
36	Mus musculus	Ad15	mixed	20	day	Theiler stage 28	brain	pons		normal	alive	isoflurane	mouse donor	10X33_3_cells	10X33_3_cells	10X33_3_cells	10X33_3_cells		SRX3809296	SRR6854141		cell	RNA	polyA RNA	10xV1	10x	oligo-dT	3 prime tag		14	10		0	14		0	8		0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	sequencing assay		
37	Mus musculus	Ad15	mixed	20	day	Theiler stage 28	brain	pons		normal	alive	isoflurane	mouse donor	10X33_4_cells	10X33_4_cells	10X33_4_cells	10X33_4_cells		SRX3809297	SRR6854142		cell	RNA	polyA RNA	10xV1	10x	oligo-dT	3 prime tag		14	10		0	14		0	8		0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	sequencing assay		
38	Mus musculus	Ad17	female	21	day	Theiler stage 28	brain	amygdala		normal	alive	isoflurane	mouse donor	10X34_1_cells	10X34_1_cells	10X34_1_cells	10X34_1_cells		SRX3809294	SRR6854143		cell	RNA	polyA RNA	10xV1	10x	oligo-dT	3 prime tag		14	10		0	14		0	8		0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	sequencing assay		
39	Mus musculus	Ad17	female	21	day	Theiler stage 28	brain	amygdala		normal	alive	isoflurane	mouse donor	10X34_2_cells	10X34_2_cells	10X34_2_cells	10X34_2_cells		SRX3809295	SRR6854144		cell	RNA	polyA RNA	10xV1	10x	oligo-dT	3 prime tag		14	10		0	14		0	8		0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	sequencing assay		
40	Mus musculus	Ad17	female	21	day	Theiler stage 28	brain	midbrain		normal	alive	isoflurane	mouse donor	10X34_3_cells	10X34_3_cells	10X34_3_cells	10X34_3_cells		SRX3809292	SRR6854137		cell	RNA	polyA RNA	10xV1	10x	oligo-dT	3 prime tag		14	10		0	14		0	8		0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	sequencing assay		
41	Mus musculus	Ad17	female	21	day	Theiler stage 28	brain	midbrain		normal	alive	isoflurane	mouse donor	10X34_4_cells	10X34_4_cells	10X34_4_cells	10X34_4_cells		SRX3809293	SRR6854138		cell	RNA	polyA RNA	10xV1	10x	oligo-dT	3 prime tag		14	10		0	14		0	8		0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	sequencing assay		
42	Mus musculus	Ad18	female	26	day	Theiler stage 28	brain	cortex		normal	alive	isoflurane	mouse donor	10X35_1_cells	10X35_1_cells	10X35_1_cells	10X35_1_cells		SRX3809290	SRR6854139		cell	RNA	polyA RNA	10xV1	10x	oligo-dT	3 prime tag		14	10		0	14		0	8		0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	sequencing assay		
43	Mus musculus	Ad18	female	26	day	Theiler stage 28	brain	cortex		normal	alive	isoflurane	mouse donor	10X35_2_cells	10X35_2_cells	10X35_2_cells	10X35_2_cells		SRX3809291	SRR6854140		cell	RNA	polyA RNA	10xV1	10x	oligo-dT	3 prime tag		14	10		0	14		0	8		0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	sequencing assay		
44	Mus musculus	Ad18	female	26	day	Theiler stage 28	brain	hypothalamus		normal	alive	isoflurane	mouse donor	10X35_3_cells	10X35_3_cells	10X35_3_cells	10X35_3_cells		SRX3809299	SRR6854135		cell	RNA	polyA RNA	10xV1	10x	oligo-dT	3 prime tag		14	10		0	14		0	8		0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	sequencing assay		
45	Mus musculus	Ad18	female	26	day	Theiler stage 28	brain	hypothalamus		normal	alive	isoflurane	mouse donor	10X35_4_cells	10X35_4_cells	10X35_4_cells	10X35_4_cells		SRX3809300	SRR6854136		cell	RNA	polyA RNA	10xV1	10x	oligo-dT	3 prime tag		14	10		0	14		0	8		0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	sequencing assay		
46	Mus musculus	Ad19	mixed	12 to 35	day	Theiler stage 28	brain	temporal lobe		normal	alive	isoflurane	mouse donor	10X43_1_cells	10X43_1_cells	10X43_1_cells	10X43_1_cells		SRX3809272	SRR6854110		cell	RNA	polyA RNA	10xV1	10x	oligo-dT	3 prime tag		14	10		0	14		0	8		0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	sequencing assay		
47	Mus musculus	Ad21	male	20	day	Theiler stage 28	brain	dorsal root ganglion		normal	alive	unspecified	mouse donor	10X43_2_cells	10X43_2_cells	10X43_2_cells	10X43_2_cells		SRX3809271	SRR6877265		cell	RNA	polyA RNA	10xV1	10x	oligo-dT	3 prime tag		14	10		0	14		0	8		0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	sequencing assay		
48	Mus musculus	Ad21	male	20	day	Theiler stage 28	brain	spinal cord		normal	alive	unspecified	mouse donor	10X43_3_cells	10X43_3_cells	10X43_3_cells	10X43_3_cells		SRX3809278	SRR6854109		cell	RNA	polyA RNA	10xV1	10x	oligo-dT	3 prime tag		14	10		0	14		0	8		0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	sequencing assay		
49	Mus musculus	Ad22	mixed	16 to 24	day	Theiler stage 28	brain	hippocampal formation		normal	alive	isoflurane	mouse donor	10X46_1_cells	10X46_1_cells	10X46_1_cells	10X46_1_cells		SRX3809277	SRR6854106		cell	RNA	polyA RNA	10xV1	10x	oligo-dT	3 prime tag		14	10		0	14		0	8		0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	sequencing assay		
50	Mus musculus	Ad22	mixed	16 to 24	day	Theiler stage 28	brain	ventral striatum		normal	alive	isoflurane	mouse donor	10X46_2_cells	10X46_2_cells	10X46_2_cells	10X46_2_cells		SRX3809332	SRR6854105		cell	RNA	polyA RNA	10xV1	10x	oligo-dT	3 prime tag		14	10		0	14		0	8		0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	sequencing assay		
51	Mus musculus	Ad22	mixed	16 to 24	day	Theiler stage 28	brain	ventral striatum		normal	alive	isoflurane	mouse donor	10X46_3_cells	10X46_3_cells	10X46_3_cells	10X46_3_cells		SRX3809333	SRR6854133		cell	RNA	polyA RNA	10xV1	10x	oligo-dT	3 prime tag		14	10		0	14		0	8		0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	sequencing assay		
52	Mus musculus	Pdgfra01	mixed	20	day	Theiler stage 28	brain	medulla		normal	alive	isoflurane	mouse donor	10X48_1_cells	10X48_1_cells	10X48_1_cells	10X48_1_cells		SRX3809334	SRR6854134		cell	RNA	polyA RNA	10xV1	10x	oligo-dT	3 prime tag		14	10		0	14		0	8		0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	sequencing assay		
53	Mus musculus	Pdgfra01	mixed	20	day	Theiler stage 28	brain	medulla		normal	alive	isoflurane	mouse donor	10X48_2_cells	10X48_2_cells	10X48_2_cells	10X48_2_cells		SRX3809335	SRR6854131		cell	RNA	polyA RNA	10xV1	10x	oligo-dT	3 prime tag		14	10		0	14		0	8		0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	sequencing assay		
54	Mus musculus	Pdgfra01	mixed	20	day	Theiler stage 28	brain	pons		normal	alive	isoflurane	mouse donor	10X48_3_cells	10X48_3_cells	10X48_3_cells	10X48_3_cells		SRX3809328	SRR6854132		cell	RNA	polyA RNA	10xV1	10x	oligo-dT	3 prime tag		14	10		0	14		0	8		0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	sequencing assay		
55	Mus musculus	Pdgfra01	mixed	20	day	Theiler stage 28	brain	pons		normal	alive	isoflurane	mouse donor	10X48_4_cells	10X48_4_cells	10X48_4_cells	10X48_4_cells		SRX3809329	SRR6854129		cell	RNA	polyA RNA	10xV1	10x	oligo-dT	3 prime tag		14	10		0	14		0	8		0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	sequencing assay		
56	Mus musculus	Ad24	female	29	day	Theiler stage 28	brain	amygdala		normal	alive	isoflurane	mouse donor	10X49_1_cells	10X49_1_cells	10X49_1_cells	10X49_1_cells		SRX3809330	SRR6854130		cell	RNA	polyA RNA	10xV1	10x	oligo-dT	3 prime tag		14	10		0	14		0	8		0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	sequencing assay		
57	Mus musculus	Ad24	female	29	day	Theiler stage 28	brain	amygdala		normal	alive	isoflurane	mouse donor	10X49_2_cells	10X49_2_cells	10X49_2_cells	10X49_2_cells		SRX3809331	SRR6854127		cell	RNA	polyA RNA	10xV1	10x	oligo-dT	3 prime tag		14	10		0	14		0	8		0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	sequencing assay		
58	Mus musculus	Ad24	female	29	day	Theiler stage 28	brain	amygdala		normal	alive	isoflurane	mouse donor	10X49_3_cells	10X49_3_cells	10X49_3_cells	10X49_3_cells		SRX3809326	SRR6854128		cell	RNA	polyA RNA	10xV1	10x	oligo-dT	3 prime tag		14	10		0	14		0	8		0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	sequencing assay		
59	Mus musculus	Ad24	female	29	day	Theiler stage 28	brain	olfactory bulb		normal	alive	isoflurane	mouse donor	10X49_4_cells	10X49_4_cells	10X49_4_cells	10X49_4_cells		SRX3809327	SRR6854125		cell	RNA	polyA RNA	10xV1	10x	oligo-dT	3 prime tag		14	10		0	14		0	8		0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	sequencing assay		
60	Mus musculus	Ad24	female	29	day	Theiler stage 28	brain	olfactory bulb		normal	alive	isoflurane	mouse donor	10X49_5_cells	10X49_5_cells	10X49_5_cells	10X49_5_cells		SRX3809309	SRR6854126		cell	RNA	polyA RNA	10xV1	10x	oligo-dT	3 prime tag		14	10		0	14		0	8		0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	sequencing assay		
