Source Name	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[individual]	Characteristics[sex]	Characteristics[age]	Unit[time unit]	Characteristics[developmental stage]	Characteristics[organism part]	Characteristics[sampling site]	Characteristics[disease]	Characteristics[organism status]	Characteristics[cause of death]	Description	Material Type	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Comment[library construction]	Comment[single cell isolation]	Comment[input molecule]	Comment[primer]	Comment[end bias]	Comment[umi barcode offset]	Comment[umi barcode size]	Comment[cell barcode offset]	Comment[cell barcode size]	Comment[sample barcode offset]	Comment[sample barcode size]	Comment[cDNA read offset]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRATEGY]	Comment[LIBRARY_SELECTION]	Protocol REF	Assay Name	Technology Type	Scan Name	Comment[ENA_EXPERIMENT]	Comment[technical replicate group]	Comment[ENA_RUN]	Comment[read1 file]	Comment[read2 file]	Comment[SRA_URI]
10X26_1_cells		Mus musculus	Ad13	female	25	day	Theiler stage 28	brain	cerebellum	normal	alive	isoflurane	mouse donor	cell	P-HCAD41-1	P-HCAD41-3		P-HCAD41-8		P-HCAD41-11	10X26_1_cells	RNA	10xV1	10x	polyA RNA	oligo-dT	3 prime tag	14	10	0	14	0	8	0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	P-HCAD41-13	10X26_1_cells	sequencing assay	10X26_1_cells	SRX3809397		SRR6854118	PATH NOT FOUND	PATH NOT FOUND	PATH NOT FOUND
10X26_2_cells		Mus musculus	Ad13	female	25	day	Theiler stage 28	brain	cerebellum	normal	alive	isoflurane	mouse donor	cell	P-HCAD41-1	P-HCAD41-3		P-HCAD41-8		P-HCAD41-11	10X26_2_cells	RNA	10xV1	10x	polyA RNA	oligo-dT	3 prime tag	14	10	0	14	0	8	0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	P-HCAD41-13	10X26_2_cells	sequencing assay	10X26_2_cells	SRX3809396		SRR6854117	PATH NOT FOUND	PATH NOT FOUND	PATH NOT FOUND
10X26_3_cells		Mus musculus	Ad13	female	25	day	Theiler stage 28	brain	ventral striatum	normal	alive	isoflurane	mouse donor	cell	P-HCAD41-1	P-HCAD41-3		P-HCAD41-8		P-HCAD41-11	10X26_3_cells	RNA	10xV1	10x	polyA RNA	oligo-dT	3 prime tag	14	10	0	14	0	8	0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	P-HCAD41-13	10X26_3_cells	sequencing assay	10X26_3_cells	SRX3809395		SRR6854116	PATH NOT FOUND	PATH NOT FOUND	PATH NOT FOUND
10X26_4_cells		Mus musculus	Ad13	female	25	day	Theiler stage 28	brain	ventral striatum	normal	alive	isoflurane	mouse donor	cell	P-HCAD41-1	P-HCAD41-3		P-HCAD41-8		P-HCAD41-11	10X26_4_cells	RNA	10xV1	10x	polyA RNA	oligo-dT	3 prime tag	14	10	0	14	0	8	0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	P-HCAD41-13	10X26_4_cells	sequencing assay	10X26_4_cells	SRX3809394		SRR6854115	PATH NOT FOUND	PATH NOT FOUND	PATH NOT FOUND
10X28_2_cells		Mus musculus	Ad14	male	26	day	Theiler stage 28	brain	cortex	normal	alive	isoflurane	mouse donor	cell	P-HCAD41-1	P-HCAD41-3		P-HCAD41-8		P-HCAD41-11	10X28_2_cells	RNA	10xV1	10x	polyA RNA	oligo-dT	3 prime tag	14	10	0	14	0	8	0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	P-HCAD41-13	10X28_2_cells	sequencing assay	10X28_2_cells	SRX3809393		SRR6854122	PATH NOT FOUND	PATH NOT FOUND	PATH NOT FOUND
10X28_3_cells		Mus musculus	Ad14	male	26	day	Theiler stage 28	brain	cortex	normal	alive	isoflurane	mouse donor	cell	P-HCAD41-1	P-HCAD41-3		P-HCAD41-8		P-HCAD41-11	10X28_3_cells	RNA	10xV1	10x	polyA RNA	oligo-dT	3 prime tag	14	10	0	14	0	8	0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	P-HCAD41-13	10X28_3_cells	sequencing assay	10X28_3_cells	SRX3809392		SRR6854121	PATH NOT FOUND	PATH NOT FOUND	PATH NOT FOUND
10X28_4_cells		Mus musculus	Ad14	male	26	day	Theiler stage 28	brain	olfactory bulb	normal	alive	isoflurane	mouse donor	cell	P-HCAD41-1	P-HCAD41-3		P-HCAD41-8		P-HCAD41-11	10X28_4_cells	RNA	10xV1	10x	polyA RNA	oligo-dT	3 prime tag	14	10	0	14	0	8	0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	P-HCAD41-13	10X28_4_cells	sequencing assay	10X28_4_cells	SRX3809391		SRR6854120	PATH NOT FOUND	PATH NOT FOUND	PATH NOT FOUND
10X28_5_cells		Mus musculus	Ad14	male	26	day	Theiler stage 28	brain	olfactory bulb	normal	alive	isoflurane	mouse donor	cell	P-HCAD41-1	P-HCAD41-3		P-HCAD41-8		P-HCAD41-11	10X28_5_cells	RNA	10xV1	10x	polyA RNA	oligo-dT	3 prime tag	14	10	0	14	0	8	0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	P-HCAD41-13	10X28_5_cells	sequencing assay	10X28_5_cells	SRX3809390		SRR6854119	PATH NOT FOUND	PATH NOT FOUND	PATH NOT FOUND
10X33_1_cells		Mus musculus	Ad15	mixed	20	day	Theiler stage 28	brain	medulla	normal	alive	isoflurane	mouse donor	cell	P-HCAD41-1	P-HCAD41-3		P-HCAD41-8		P-HCAD41-11	10X33_1_cells	RNA	10xV1	10x	polyA RNA	oligo-dT	3 prime tag	14	10	0	14	0	8	0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	P-HCAD41-13	10X33_1_cells	sequencing assay	10X33_1_cells	SRX3809399		SRR6854124	PATH NOT FOUND	PATH NOT FOUND	PATH NOT FOUND
10X33_2_cells		Mus musculus	Ad15	mixed	20	day	Theiler stage 28	brain	medulla	normal	alive	isoflurane	mouse donor	cell	P-HCAD41-1	P-HCAD41-3		P-HCAD41-8		P-HCAD41-11	10X33_2_cells	RNA	10xV1	10x	polyA RNA	oligo-dT	3 prime tag	14	10	0	14	0	8	0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	P-HCAD41-13	10X33_2_cells	sequencing assay	10X33_2_cells	SRX3809398		SRR6854123	PATH NOT FOUND	PATH NOT FOUND	PATH NOT FOUND
10X33_3_cells		Mus musculus	Ad16	mixed	20	day	Theiler stage 28	brain	pons	normal	alive	isoflurane	mouse donor	cell	P-HCAD41-1	P-HCAD41-3		P-HCAD41-8		P-HCAD41-11	10X33_3_cells	RNA	10xV1	10x	polyA RNA	oligo-dT	3 prime tag	14	10	0	14	0	8	0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	P-HCAD41-13	10X33_3_cells	sequencing assay	10X33_3_cells	SRX3809296		SRR6854141	PATH NOT FOUND	PATH NOT FOUND	PATH NOT FOUND
10X33_4_cells		Mus musculus	Ad16	mixed	20	day	Theiler stage 28	brain	pons	normal	alive	isoflurane	mouse donor	cell	P-HCAD41-1	P-HCAD41-3		P-HCAD41-8		P-HCAD41-11	10X33_4_cells	RNA	10xV1	10x	polyA RNA	oligo-dT	3 prime tag	14	10	0	14	0	8	0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	P-HCAD41-13	10X33_4_cells	sequencing assay	10X33_4_cells	SRX3809297		SRR6854142	PATH NOT FOUND	PATH NOT FOUND	PATH NOT FOUND
10X34_1_cells		Mus musculus	Ad17	female	21	day	Theiler stage 28	brain	amygdala	normal	alive	isoflurane	mouse donor	cell	P-HCAD41-1	P-HCAD41-3		P-HCAD41-8		P-HCAD41-11	10X34_1_cells	RNA	10xV1	10x	polyA RNA	oligo-dT	3 prime tag	14	10	0	14	0	8	0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	P-HCAD41-13	10X34_1_cells	sequencing assay	10X34_1_cells	SRX3809294		SRR6854143	PATH NOT FOUND	PATH NOT FOUND	PATH NOT FOUND
10X34_2_cells		Mus musculus	Ad17	female	21	day	Theiler stage 28	brain	amygdala	normal	alive	isoflurane	mouse donor	cell	P-HCAD41-1	P-HCAD41-3		P-HCAD41-8		P-HCAD41-11	10X34_2_cells	RNA	10xV1	10x	polyA RNA	oligo-dT	3 prime tag	14	10	0	14	0	8	0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	P-HCAD41-13	10X34_2_cells	sequencing assay	10X34_2_cells	SRX3809295		SRR6854144	PATH NOT FOUND	PATH NOT FOUND	PATH NOT FOUND
10X34_3_cells		Mus musculus	Ad17	female	21	day	Theiler stage 28	brain	midbrain	normal	alive	isoflurane	mouse donor	cell	P-HCAD41-1	P-HCAD41-3		P-HCAD41-8		P-HCAD41-11	10X34_3_cells	RNA	10xV1	10x	polyA RNA	oligo-dT	3 prime tag	14	10	0	14	0	8	0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	P-HCAD41-13	10X34_3_cells	sequencing assay	10X34_3_cells	SRX3809292		SRR6854137	PATH NOT FOUND	PATH NOT FOUND	PATH NOT FOUND
10X34_4_cells		Mus musculus	Ad17	female	21	day	Theiler stage 28	brain	midbrain	normal	alive	isoflurane	mouse donor	cell	P-HCAD41-1	P-HCAD41-3		P-HCAD41-8		P-HCAD41-11	10X34_4_cells	RNA	10xV1	10x	polyA RNA	oligo-dT	3 prime tag	14	10	0	14	0	8	0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	P-HCAD41-13	10X34_4_cells	sequencing assay	10X34_4_cells	SRX3809293		SRR6854138	PATH NOT FOUND	PATH NOT FOUND	PATH NOT FOUND
10X35_1_cells		Mus musculus	Ad18	female	26	day	Theiler stage 28	brain	cortex	normal	alive	isoflurane	mouse donor	cell	P-HCAD41-1	P-HCAD41-3		P-HCAD41-8		P-HCAD41-11	10X35_1_cells	RNA	10xV1	10x	polyA RNA	oligo-dT	3 prime tag	14	10	0	14	0	8	0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	P-HCAD41-13	10X35_1_cells	sequencing assay	10X35_1_cells	SRX3809290		SRR6854139	PATH NOT FOUND	PATH NOT FOUND	PATH NOT FOUND
10X35_2_cells		Mus musculus	Ad18	female	26	day	Theiler stage 28	brain	cortex	normal	alive	isoflurane	mouse donor	cell	P-HCAD41-1	P-HCAD41-3		P-HCAD41-8		P-HCAD41-11	10X35_2_cells	RNA	10xV1	10x	polyA RNA	oligo-dT	3 prime tag	14	10	0	14	0	8	0	first strand	PAIRED	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	cDNA	P-HCAD41-13	10X35_2_cells	sequencing assay	10X35_2_cells	SRX3809291		SRR6854140	PATH NOT FOUND	PATH NOT FOUND	PATH NOT FOUND
